country,chosen_formation,name,positions,role,overall_rating,potential,preferred_foot,height_cm,weight_kgs,predicted_score,age,nationality,weak_foot(1-5),skill_moves(1-5),national_rating,national_team_position,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle
Algeria,4-2-3-1,Y. Atal,RB,DF,75.0,85,Right,175.26,69.9,874.432522727272,22,Algeria,5,4,,,74,54,63,75,57,80,66,40,73,78,85,82,81,71,79,65,70,79,69,61,76,69,75,70,50,75,68,73,72
Algeria,4-2-3-1,Y. Brahimi,LM,MF,85.0,85,Right,175.26,66.2,874.432522727272,29,Algeria,3,4,,,79,76,46,79,73,93,84,78,72,86,87,75,92,84,90,69,72,85,49,76,46,38,83,79,75,90,51,36,25
Algeria,4-2-3-1,S. Feghouli,RM,MF,79.0,79,Right,175.26,74.8,874.432522727272,29,Algeria,3,4,,,78,68,60,74,68,85,62,68,67,82,83,86,84,78,76,79,72,72,58,74,62,31,77,75,62,63,30,32,31
Algeria,4-2-3-1,R. Boudebouz,CAM,MF,79.0,79,Left,152.4,73.9,874.432522727272,29,Algeria,4,4,,,80,77,45,78,73,80,83,82,75,78,75,73,78,73,77,77,61,68,60,75,58,35,74,82,90,79,57,35,30
Algeria,4-2-3-1,N. Bentaleb,CM,MF,78.0,83,Left,187.96,78.0,874.432522727272,24,Algeria,2,4,,,65,62,51,80,67,82,69,62,76,81,66,64,75,76,71,83,53,75,72,79,74,77,68,80,87,79,65,71,60
Algeria,4-2-3-1,S. Hanni,CAM,MF,76.0,76,Right,152.4,72.1,874.432522727272,28,Algeria,4,4,,,74,74,57,74,70,77,71,70,69,75,76,74,77,74,75,76,34,79,65,75,53,51,75,77,67,74,60,54,45
Algeria,4-2-3-1,R. Mahrez,RW,FW,85.0,85,Left,152.4,67.1,874.432522727272,28,Algeria,4,5,,,81,78,48,79,72,90,84,78,75,90,88,83,93,77,88,79,61,76,54,80,48,39,80,81,70,85,45,31,18
Argentina,4-1-4-1,S. Romero,GK,GK,80.0,80,Right,193.04,87.1,874.0632272727266,32,Argentina,3,1,82.0,SUB,11,14,12,39,17,12,12,13,48,40,47,44,52,78,44,14,63,35,75,11,33,21,11,55,16,62,14,11,15
Argentina,4-1-4-1,N. Otamendi,CB,DF,84.0,84,Right,182.88,81.2,874.0632272727266,31,Argentina,3,2,82.0,SUB,52,54,84,75,57,51,50,39,72,70,57,61,64,78,62,69,92,67,80,56,91,83,51,53,45,80,83,84,84
Argentina,4-1-4-1,E. Garay,CB,DF,82.0,82,Right,187.96,89.8,874.0632272727266,32,Argentina,3,2,,,62,58,80,69,49,60,55,74,72,73,34,36,54,76,34,80,76,67,88,64,77,83,42,63,69,78,82,83,81
Argentina,4-1-4-1,F. Fazio,CB,DF,82.0,82,Right,195.58,84.8,874.0632272727266,31,Argentina,2,2,,,44,41,89,64,35,48,46,37,62,72,36,43,29,79,32,63,41,74,91,26,84,85,32,47,26,80,85,85,78
Argentina,4-1-4-1,M. Musacchio,CB,DF,80.0,80,Right,154.94,73.0,874.0632272727266,28,Argentina,3,3,,,55,40,76,69,36,65,53,45,67,67,69,71,73,76,68,57,83,68,76,53,76,84,50,64,57,76,84,84,80
Argentina,4-1-4-1,P. Dybala,CAM,MF,89.0,94,Left,152.4,74.8,874.0632272727266,25,Argentina,3,4,82.0,LF,82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,86,84,23,20,20
Argentina,4-1-4-1,E. Banega,CM,MF,84.0,84,Right,175.26,71.2,874.0632272727266,30,Argentina,4,4,,,80,66,49,88,65,84,83,81,87,86,68,64,79,77,83,74,57,74,67,78,73,76,75,88,78,80,75,70,66
Argentina,4-1-4-1,G. Lo Celso,CM,MF,82.0,88,Left,175.26,69.9,874.0632272727266,22,Argentina,3,4,82.0,RCM,75,77,59,82,69,84,82,72,84,84,77,79,82,80,81,80,64,80,69,76,65,65,79,84,60,79,61,67,67
Argentina,4-1-4-1,N. Gaitán,CAM,MF,82.0,82,Left,172.72,66.2,874.0632272727266,31,Argentina,2,4,,,80,71,54,81,81,84,88,72,75,83,84,79,87,82,81,72,81,69,46,73,69,40,77,82,71,80,35,42,43
Argentina,4-1-4-1,L. Biglia,CDM,MF,82.0,82,Right,152.4,63.0,874.0632272727266,33,Argentina,4,3,,,74,50,54,86,78,80,71,76,82,84,65,65,76,80,78,77,62,75,65,75,83,82,50,80,72,80,80,78,74
Argentina,4-1-4-1,L. Messi,CF,FW,94.0,94,Left,170.18,72.1,874.0632272727266,31,Argentina,4,4,82.0,RF,86,95,70,92,86,97,93,94,89,96,91,86,93,95,95,85,68,72,66,94,48,22,94,94,75,96,33,28,26
Australia,4-3-3,M. Ryan,GK,GK,80.0,83,Right,182.88,82.1,873.1819090909075,26,Australia,4,1,73.0,GK,23,11,14,40,15,13,23,12,45,24,53,52,53,73,50,35,78,34,68,18,36,23,10,68,25,64,10,20,17
Australia,4-3-3,M. Degenek,CB,DF,74.0,81,Right,187.96,82.1,873.1819090909075,24,Australia,4,2,74.0,RCB,70,59,70,74,62,58,69,44,72,64,79,79,78,72,70,70,81,86,84,61,81,70,55,67,58,77,65,75,76
Australia,4-3-3,T. Sainsbury,CB,DF,74.0,76,Right,182.88,78.0,873.1819090909075,27,Australia,3,2,73.0,RCB,58,45,74,67,33,55,62,25,68,55,74,74,67,74,73,61,77,75,76,43,62,77,52,62,63,70,81,70,76
Australia,4-3-3,A. Behich,LB,DF,73.0,73,Left,170.18,63.0,873.1819090909075,28,Australia,4,3,73.0,LB,74,65,54,74,57,74,72,55,71,72,82,81,83,66,86,72,73,80,54,62,79,66,63,50,47,65,70,71,72
Australia,4-3-3,J. Risdon,RB,DF,72.0,75,Right,167.64,69.9,873.1819090909075,26,Australia,3,3,65.0,RES,70,48,53,63,30,64,59,38,60,68,78,76,63,57,87,50,92,85,79,55,71,74,43,57,43,60,68,75,73
Australia,4-3-3,A. Mooy,CM,MF,78.0,78,Right,172.72,72.1,873.1819090909075,28,Australia,3,3,,,73,69,50,82,65,74,73,72,80,79,64,60,69,75,73,71,70,77,74,75,75,71,74,78,73,78,72,74,69
Australia,4-3-3,T. Rogić,CAM,MF,76.0,79,Left,187.96,88.0,873.1819090909075,26,Australia,4,4,73.0,CAM,61,70,60,76,68,82,76,62,70,82,74,66,74,64,75,82,52,58,77,80,48,44,75,73,56,83,49,51,43
Australia,4-3-3,M. Leckie,RM,MF,75.0,75,Right,154.94,82.1,873.1819090909075,28,Australia,4,3,73.0,SUB,76,68,72,68,65,76,72,36,54,75,91,89,75,70,78,74,87,77,70,67,73,54,73,65,69,67,63,48,40
Australia,4-3-3,A. Giannou,ST,FW,71.0,71,Right,185.42,78.9,873.1819090909075,29,Australia,4,3,,,41,75,78,63,61,66,54,34,61,68,64,71,62,59,61,72,73,73,79,66,65,25,72,54,66,66,23,22,19
Australia,4-3-3,C. Ikonomidis,LW,FW,71.0,79,Right,154.94,73.0,873.1819090909075,23,Australia,4,3,67.0,RW,66,72,57,70,65,72,63,56,66,73,78,75,79,68,64,71,41,77,64,68,55,49,68,66,58,69,47,49,52
Australia,4-3-3,A. Mabil,RW,FW,70.0,78,Right,152.4,73.0,873.1819090909075,23,Australia,3,4,73.0,RW,68,59,33,62,48,75,62,60,47,73,93,92,85,65,72,60,56,68,46,44,35,25,65,57,53,60,37,23,20
Austria,4-2-3-1,R. Özcan,GK,GK,75.0,75,Left,182.88,78.0,874.1049090909083,34,Austria,2,1,,,12,14,14,34,13,13,14,19,26,14,52,51,48,73,36,23,71,36,72,17,32,22,10,32,16,53,12,14,13
Austria,4-2-3-1,D. Alaba,LB,DF,84.0,86,Left,154.94,76.2,874.1049090909083,26,Austria,4,3,77.0,SUB,81,63,75,82,68,79,78,84,79,82,79,86,79,83,77,83,82,85,71,82,69,82,76,77,79,79,80,81,79
Austria,4-2-3-1,M. Hinteregger,CB,DF,78.0,80,Left,182.88,83.0,874.1049090909083,26,Austria,3,2,77.0,LCB,53,48,77,63,49,55,58,63,81,62,63,73,62,69,62,83,85,72,83,71,82,76,61,65,64,65,77,81,80
Austria,4-2-3-1,S. Lainer,RB,DF,77.0,79,Right,175.26,73.0,874.1049090909083,26,Austria,4,3,73.0,RB,74,59,64,74,59,72,65,33,70,71,85,86,75,75,75,73,68,90,72,70,86,68,66,60,45,72,65,75,79
Austria,4-2-3-1,A. Dragović,CB,DF,77.0,77,Right,185.42,88.0,874.1049090909083,28,Austria,4,2,77.0,SUB,49,41,76,67,37,62,32,61,62,66,65,67,68,76,64,69,80,68,80,53,74,80,63,65,65,73,74,79,77
Austria,4-2-3-1,M. Sabitzer,CAM,MF,81.0,84,Right,152.4,77.1,874.1049090909083,24,Austria,4,3,77.0,LM,70,79,56,79,78,79,74,63,67,81,83,77,75,85,79,86,75,84,76,81,70,55,81,79,65,75,58,55,51
Austria,4-2-3-1,M. Gregoritsch,CAM,MF,79.0,82,Left,193.04,87.1,874.1049090909083,24,Austria,3,4,77.0,SUB,65,79,71,77,75,75,83,78,71,78,65,68,67,78,52,84,50,69,79,80,58,33,78,74,64,65,36,40,38
Austria,4-2-3-1,J. Baumgartlinger,CDM,MF,78.0,78,Right,182.88,86.2,874.1049090909083,31,Austria,3,2,77.0,SUB,63,39,69,81,50,65,47,49,71,74,68,71,65,74,64,73,80,88,78,39,84,77,62,64,59,75,79,80,75
Austria,4-2-3-1,Z. Junuzović,CM,MF,78.0,78,Right,172.72,72.1,874.1049090909083,31,Austria,4,3,,,83,68,58,77,82,80,88,82,78,80,76,69,86,77,91,78,68,91,65,78,76,75,70,77,70,78,68,66,63
Austria,4-2-3-1,A. Schöpf,RM,MF,77.0,80,Right,152.4,73.9,874.1049090909083,25,Austria,4,3,77.0,SUB,76,72,44,75,65,80,69,61,62,79,78,77,78,76,77,68,62,93,62,72,60,59,74,65,64,73,61,60,50
Austria,4-2-3-1,M. Arnautović,ST,FW,82.0,82,Right,193.04,83.0,874.1049090909083,29,Austria,4,4,77.0,LS,78,78,74,78,79,84,79,72,74,85,79,83,69,78,66,84,67,78,84,75,84,44,83,77,77,81,43,48,39
Belgium,4-3-3,T. Courtois,GK,GK,89.0,90,Left,198.12,96.2,873.3729318181802,26,Belgium,2,1,85.0,GK,14,14,13,33,12,13,19,20,35,23,46,52,61,84,45,36,68,38,70,17,23,15,13,44,27,66,20,18,16
Belgium,4-3-3,J. Vertonghen,CB,DF,87.0,87,Left,187.96,86.2,873.3729318181802,31,Belgium,3,3,85.0,LCB,72,56,80,79,52,71,63,73,74,77,61,65,61,85,60,80,85,75,79,66,84,89,60,68,66,83,89,87,88
Belgium,4-3-3,T. Alderweireld,CB,DF,87.0,88,Right,185.42,81.2,873.3729318181802,30,Belgium,3,2,85.0,RCB,64,45,82,79,38,62,63,69,85,75,61,67,60,88,50,78,84,76,79,65,81,87,58,67,58,84,90,91,86
Belgium,4-3-3,V. Kompany,CB,DF,85.0,85,Right,190.5,84.8,873.3729318181802,32,Belgium,3,2,85.0,CB,61,45,83,73,46,63,61,52,66,70,50,57,55,86,41,73,72,65,87,55,87,82,41,59,63,80,86,85,84
Belgium,4-3-3,T. Meunier,RB,DF,82.0,83,Right,190.5,89.8,873.3729318181802,27,Belgium,4,3,85.0,RM,83,76,75,82,79,75,74,56,74,82,74,81,63,80,49,77,72,92,85,78,73,76,80,71,65,78,77,82,80
Belgium,4-3-3,K. De Bruyne,CAM,MF,91.0,92,Right,154.94,69.9,873.3729318181802,27,Belgium,5,4,85.0,RCM,93,82,55,92,82,86,85,83,91,91,78,76,79,91,77,91,63,89,75,91,76,61,87,94,79,90,68,58,51
Belgium,4-3-3,A. Witsel,CDM,MF,85.0,85,Right,187.96,81.2,873.3729318181802,30,Belgium,4,4,85.0,LCM,69,71,81,89,77,78,69,68,84,84,67,73,77,85,63,78,76,86,82,77,81,80,75,80,83,92,83,80,85
Belgium,4-3-3,R. Nainggolan,CM,MF,85.0,85,Right,175.26,77.1,873.3729318181802,30,Belgium,3,3,,,73,75,59,84,75,80,73,68,81,85,78,73,76,87,82,84,76,93,77,86,88,86,86,76,63,84,83,86,90
Belgium,4-3-3,E. Hazard,LW,FW,91.0,91,Right,172.72,76.2,873.3729318181802,28,Belgium,4,4,85.0,LF,81,84,61,89,80,95,83,79,83,94,94,88,95,90,94,82,56,83,66,80,54,41,87,89,86,91,34,27,22
Belgium,4-3-3,D. Mertens,CF,FW,87.0,87,Right,170.18,60.8,873.3729318181802,31,Belgium,4,4,85.0,RF,77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,83,79,81,25,40,40
Belgium,4-3-3,R. Lukaku,ST,FW,86.0,88,Left,190.5,93.9,873.3729318181802,25,Belgium,3,3,85.0,ST,72,86,85,76,77,78,74,66,73,71,75,90,60,86,46,88,71,81,94,74,71,27,87,73,78,83,30,30,30
Benin,4-3-3,S. Allagbé,GK,GK,69.0,75,Right,187.96,71.2,805.2677272727279,25,Benin,2,1,,,13,15,16,25,19,16,21,18,22,23,31,28,59,55,32,15,41,28,45,19,23,22,15,64,25,61,13,14,17
Benin,4-3-3,K. Adénon,CB,DF,73.0,73,Right,154.94,72.1,805.2677272727279,33,Benin,4,2,,,55,39,75,59,33,37,46,48,61,62,62,60,67,66,69,35,83,69,76,37,80,70,17,50,55,66,74,74,72
Benin,4-3-3,E. Imorou,LB,DF,70.0,70,Left,154.94,78.0,805.2677272727279,30,Benin,2,3,,,69,50,66,64,50,60,59,54,66,65,73,73,71,68,78,61,72,77,69,57,72,70,54,65,55,71,69,69,69
Benin,4-3-3,O. Verdon,CB,DF,65.0,72,Right,190.5,84.8,805.2677272727279,23,Benin,2,2,,,30,21,62,52,34,33,34,28,38,41,52,51,44,53,46,41,72,69,80,27,58,62,31,28,44,53,67,68,67
Benin,4-3-3,D. Kiki,LB,DF,64.0,68,Left,154.94,76.2,805.2677272727279,25,Benin,3,2,,,61,54,63,62,44,62,50,37,59,60,73,77,68,58,65,58,70,76,70,42,68,60,52,48,38,60,55,63,61
Benin,4-3-3,J. Adéoti,CDM,MF,70.0,70,Right,182.88,81.2,805.2677272727279,29,Benin,3,2,,,67,59,67,67,35,55,39,30,67,65,53,55,53,67,66,45,69,77,71,61,76,71,60,67,32,70,70,70,63
Benin,4-3-3,S. D'Almeida,CM,MF,63.0,68,Right,152.4,71.2,805.2677272727279,23,Benin,2,2,,,42,52,58,63,40,61,45,37,60,63,78,76,74,59,75,60,70,85,74,51,89,61,53,60,50,62,61,62,60
Benin,4-3-3,D. Djigla,RM,MF,63.0,68,Right,175.26,73.0,805.2677272727279,23,Benin,3,3,,,55,60,46,57,65,66,68,69,50,63,87,90,81,52,53,72,73,64,58,69,53,18,56,47,61,58,47,25,18
Benin,4-3-3,S. Mounié,ST,FW,75.0,82,Right,190.5,79.8,805.2677272727279,24,Benin,3,3,,,60,74,84,67,69,64,52,41,59,70,66,70,60,71,54,78,83,66,83,65,78,42,76,61,65,67,35,35,40
Benin,4-3-3,R. Gestede,ST,FW,71.0,71,Right,193.04,86.2,805.2677272727279,30,Benin,3,3,,,39,68,83,59,66,65,50,60,50,70,52,66,56,62,52,72,82,65,90,66,73,36,71,42,65,56,25,39,23
Benin,4-3-3,C. Soukou,ST,FW,67.0,70,Right,185.42,82.1,805.2677272727279,26,Benin,3,3,,,62,65,58,64,57,71,63,50,60,67,82,80,69,61,73,70,66,68,76,64,42,23,60,60,51,64,34,35,27
Bolivia,3-5-2,C. Lampe,GK,GK,69.0,69,Right,193.04,86.2,828.7304999999993,31,Bolivia,3,1,,,14,17,12,23,12,13,13,18,19,21,28,35,39,65,34,13,36,18,70,17,35,27,17,55,14,45,19,17,13
Bolivia,3-5-2,R. Raldes,CB,DF,70.0,70,Right,154.94,78.0,828.7304999999993,37,Bolivia,3,2,,,25,36,72,56,19,41,32,51,33,57,47,46,59,66,58,74,58,53,75,47,74,65,26,48,77,64,79,70,70
Bolivia,3-5-2,L. Gutiérrez,CB,DF,67.0,67,Right,154.94,86.2,828.7304999999993,34,Bolivia,3,2,,,59,39,59,33,37,44,48,40,35,47,64,61,68,68,60,51,72,78,78,47,76,62,49,45,42,54,72,71,64
Bolivia,3-5-2,L. Haquin,CB,DF,67.0,73,Right,154.94,76.2,828.7304999999993,21,Bolivia,3,2,70.0,SUB,28,21,73,50,26,43,22,26,47,45,74,63,46,67,64,47,70,79,74,21,71,65,21,32,42,53,65,67,65
Bolivia,3-5-2,A. Chumacero,CM,MF,74.0,75,Right,165.1,64.9,828.7304999999993,27,Bolivia,3,3,70.0,LCM,70,61,56,78,79,70,62,58,73,76,75,70,76,71,92,77,68,86,68,73,75,75,64,72,67,74,61,64,63
Bolivia,3-5-2,J. Campos,CAM,MF,71.0,71,Left,175.26,64.0,828.7304999999993,30,Bolivia,3,3,,,64,58,45,72,63,72,78,75,64,78,66,64,71,63,79,68,57,78,62,74,39,29,61,72,81,64,10,21,23
Bolivia,3-5-2,R. Cardozo,LM,MF,70.0,70,Left,170.18,68.9,828.7304999999993,29,Bolivia,1,3,,,68,60,46,68,42,67,53,57,66,66,73,75,73,73,76,63,48,85,44,58,39,48,65,70,64,63,61,58,57
Bolivia,3-5-2,H. Vaca,LM,MF,70.0,78,Left,167.64,59.9,828.7304999999993,21,Bolivia,3,3,,,69,67,35,67,71,73,58,62,66,64,79,77,80,59,91,70,59,84,46,58,38,27,64,68,71,60,38,32,40
Bolivia,3-5-2,J. Arce,LM,MF,68.0,68,Left,175.26,69.9,828.7304999999993,33,Bolivia,3,3,,,64,73,65,64,52,67,40,36,50,70,71,74,73,61,75,61,63,73,41,61,48,36,67,63,69,67,12,34,33
Bolivia,3-5-2,M. Martins,ST,FW,73.0,73,Right,187.96,82.1,828.7304999999993,31,Bolivia,4,3,,,58,75,75,69,71,69,57,57,55,71,64,61,67,67,58,80,70,66,79,71,71,24,73,65,76,68,48,24,23
Bolivia,3-5-2,R. Vargas,ST,FW,66.0,69,Right,170.18,64.9,828.7304999999993,24,Bolivia,4,3,,,52,70,54,57,63,74,57,41,53,72,71,73,79,63,91,62,75,80,33,59,26,17,70,56,67,64,19,24,23
Bosnia Herzegovina,4-3-3,A. Begović,GK,GK,78.0,78,Right,198.12,83.0,873.3697954545439,31,Bosnia Herzegovina,2,1,,,14,19,12,26,12,16,17,15,32,24,52,58,52,73,40,28,38,36,80,12,42,21,11,34,40,61,18,11,12
Bosnia Herzegovina,4-3-3,S. Kolašinac,LB,DF,79.0,82,Left,182.88,84.8,873.3697954545439,25,Bosnia Herzegovina,2,3,,,79,59,74,76,48,73,61,25,62,74,70,79,54,77,55,82,76,79,90,58,93,73,69,68,44,72,70,77,76
Bosnia Herzegovina,4-3-3,E. Bičakčić,CB,DF,77.0,77,Right,185.42,84.8,873.3697954545439,29,Bosnia Herzegovina,3,2,,,38,24,75,63,42,35,32,28,59,58,53,61,54,74,61,59,65,61,84,45,87,78,33,41,39,63,75,78,75
Bosnia Herzegovina,4-3-3,E. Zukanović,CB,DF,74.0,74,Left,190.5,84.8,873.3697954545439,32,Bosnia Herzegovina,3,2,,,66,25,77,66,27,50,76,79,66,63,61,54,45,72,39,85,52,66,84,69,70,72,38,51,69,74,74,76,74
Bosnia Herzegovina,4-3-3,O. Vranješ,CB,DF,72.0,73,Right,182.88,74.8,873.3697954545439,29,Bosnia Herzegovina,3,2,,,53,31,71,60,58,52,58,48,54,55,64,69,67,62,63,68,67,69,75,56,91,72,58,48,58,66,71,72,70
Bosnia Herzegovina,4-3-3,M. Pjanić,CM,MF,86.0,86,Right,152.4,72.1,873.3697954545439,28,Bosnia Herzegovina,4,3,,,80,60,60,89,72,86,86,92,85,89,66,66,77,84,79,78,61,78,66,82,70,78,70,88,79,86,75,74,70
Bosnia Herzegovina,4-3-3,E. Višća,RM,MF,83.0,83,Right,172.72,63.0,873.3697954545439,29,Bosnia Herzegovina,4,4,,,80,80,45,82,74,82,74,60,71,82,90,89,93,80,88,79,69,84,58,77,47,52,83,77,75,82,55,40,40
Bosnia Herzegovina,4-3-3,H. Medunjanin,CM,MF,75.0,75,Left,187.96,76.2,873.3697954545439,34,Bosnia Herzegovina,4,4,,,66,67,51,78,65,79,80,80,75,75,65,57,63,76,42,83,67,72,74,78,66,64,66,76,71,72,60,71,58
Bosnia Herzegovina,4-3-3,E. Džeko,ST,FW,85.0,85,Right,193.04,79.8,873.3697954545439,32,Bosnia Herzegovina,5,2,,,63,89,83,77,77,76,65,54,72,84,65,66,57,83,36,86,66,76,80,79,51,50,89,74,67,83,58,28,16
Bosnia Herzegovina,4-3-3,V. Ibišević,ST,FW,77.0,77,Right,187.96,82.1,873.3697954545439,34,Bosnia Herzegovina,3,3,,,65,80,79,77,84,72,73,56,47,76,41,44,60,83,59,81,71,51,77,66,83,30,82,71,83,79,59,29,22
Bosnia Herzegovina,4-3-3,S. Prevljak,ST,FW,71.0,76,Right,187.96,79.8,873.3697954545439,23,Bosnia Herzegovina,3,3,,,62,75,62,63,70,68,48,40,57,70,73,70,70,71,65,71,69,75,70,66,64,16,74,57,66,56,25,16,12
Brazil,4-4-2,Alisson,GK,GK,87.0,91,Right,190.5,91.2,874.0019090909085,26,Brazil,3,1,,,17,13,19,45,20,27,19,18,44,30,54,45,40,86,37,21,52,32,78,14,27,11,13,66,23,65,15,19,16
Brazil,4-4-2,Thiago Silva,CB,DF,88.0,88,Right,182.88,82.1,874.0019090909085,34,Brazil,3,2,,,60,38,81,80,63,62,61,64,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,72,60,86,88,89,85
Brazil,4-4-2,Marcelo,LB,DF,87.0,87,Left,175.26,79.8,874.0019090909085,30,Brazil,4,5,,,90,73,75,84,61,90,85,67,78,92,83,82,86,87,86,83,76,89,78,70,84,83,85,82,59,86,71,82,83
Brazil,4-4-2,Alex Sandro,LB,DF,86.0,86,Left,154.94,79.8,874.0019090909085,28,Brazil,3,3,,,84,55,76,81,68,80,78,59,71,81,83,86,79,84,78,80,79,92,79,72,82,82,70,70,60,82,81,84,84
Brazil,4-4-2,Filipe Luís,LB,DF,85.0,85,Left,182.88,73.9,874.0019090909085,33,Brazil,3,3,,,86,59,72,80,56,77,74,75,77,83,76,75,74,85,62,71,69,89,73,60,81,84,71,70,65,88,78,84,86
Brazil,4-4-2,Fernandinho,CDM,MF,87.0,87,Right,152.4,67.1,874.0019090909085,33,Brazil,4,3,,,68,69,66,85,74,77,70,72,83,82,68,67,72,89,78,83,78,84,76,78,87,89,70,75,61,79,87,86,80
Brazil,4-4-2,Casemiro,CDM,MF,87.0,89,Right,185.42,83.9,874.0019090909085,27,Brazil,3,2,,,58,64,76,83,61,69,63,74,82,78,61,66,62,86,66,86,88,87,89,81,89,86,69,77,66,84,84,87,86
Brazil,4-4-2,Paulinho,CM,MF,85.0,85,Right,182.88,71.2,874.0019090909085,30,Brazil,3,3,,,64,81,85,84,75,82,66,72,80,84,73,73,71,84,71,83,90,92,81,80,81,81,84,80,71,81,75,81,75
Brazil,4-4-2,Douglas Costa,LM,MF,85.0,85,Left,172.72,69.9,874.0019090909085,28,Brazil,3,5,,,84,67,50,84,76,92,84,78,68,91,97,93,93,83,91,86,61,78,63,80,55,48,73,82,77,84,45,38,34
Brazil,4-4-2,Neymar Jr,LW,FW,92.0,92,Right,175.26,68.0,874.0019090909085,27,Brazil,5,5,81.0,LW,83,87,62,84,84,96,88,87,80,95,94,90,96,94,84,80,61,81,49,82,56,36,89,88,81,94,27,24,33
