name,country_of_citizenship,position,foot,height_in_cm,current_club_domestic_competition_id,current_club_name,market_value_in_eur,yellow_cards,red_cards,goals,assists,minutes_played,age
Federico Gatti,Italy,Defender,right,190.0,IT1,Juventus FC,18000000.0,9,0,4,0,3000,26
Davinson Sánchez,Colombia,Defender,right,187.0,TR1,Galatasaray,18000000.0,5,0,2,2,2294,28
Jan Paul van Hecke,Netherlands,Defender,right,189.0,GB1,Brighton & Hove Albion,18000000.0,9,0,0,2,3353,24
Zeno Debast,Belgium,Defender,right,191.0,BE1,RSC Anderlecht,18000000.0,7,1,0,0,2476,21
Jordan Teze,Netherlands,Defender,right,183.0,NL1,PSV Eindhoven,18000000.0,5,0,3,12,3827,25
Anel Ahmedhodzic,Bosnia-Herzegovina,Defender,right,190.0,GB1,Sheffield United,18000000.0,11,0,2,0,2740,25
Harry Maguire,England,Defender,right,194.0,GB1,Manchester United,18000000.0,4,0,4,2,2310,31
Maximilian Mittelstädt,Germany,Defender,left,180.0,L1,VfB Stuttgart,17000000.0,6,0,2,5,2272,27
Neco Williams,Wales,Defender,right,183.0,GB1,Nottingham Forest,17000000.0,4,0,0,1,1996,23
Dodô,Brazil,Defender,right,166.0,IT1,ACF Fiorentina,17000000.0,1,0,0,0,877,26
Victor Nelsson,Denmark,Defender,right,185.0,TR1,Galatasaray,17000000.0,3,1,2,0,3176,26
Igor,Brazil,Defender,left,188.0,GB1,Brighton & Hove Albion,17000000.0,6,0,0,0,2287,26
Jhon Lucumí,Colombia,Defender,left,187.0,IT1,Bologna FC 1909,17000000.0,1,0,0,0,2399,26
Timothy Castagne,Belgium,Defender,right,185.0,GB1,Fulham FC,17000000.0,3,0,1,3,3069,29
Danilho Doekhi,Netherlands,Defender,right,190.0,L1,1.FC Union Berlin,17000000.0,2,0,2,0,2510,26
Diego Carlos,Brazil,Defender,right,185.0,GB1,Aston Villa,16000000.0,5,0,0,1,2026,31
Yann Bisseck,Germany,Defender,right,196.0,IT1,Inter Milan,16000000.0,3,0,2,2,1162,24
Max Aarons,England,Defender,right,171.0,GB1,AFC Bournemouth,16000000.0,2,0,0,1,1422,25
Calvin Bassey,Nigeria,Defender,left,185.0,GB1,Fulham FC,16000000.0,6,0,1,0,2563,25
Moussa Niakhaté,Senegal,Defender,left,190.0,GB1,Nottingham Forest,16000000.0,5,0,1,0,1667,28
João Mário,Portugal,Defender,right,178.0,PO1,FC Porto,15000000.0,14,0,9,5,6032,25
Nathan Patterson,Scotland,Defender,right,189.0,GB1,Everton FC,15000000.0,6,0,0,2,1415,23
Kenny Tete,Netherlands,Defender,right,180.0,GB1,Fulham FC,15000000.0,3,0,1,0,1235,29
Josip Sutalo,Croatia,Defender,right,190.0,NL1,Ajax Amsterdam,15000000.0,5,0,2,0,2858,24
Nuno Tavares,Portugal,Defender,left,183.0,GB1,Nottingham Forest,15000000.0,3,0,0,0,696,25
Mohammed Salisu,Ghana,Defender,left,188.0,FR1,AS Monaco,15000000.0,2,0,0,1,1035,25
Jaka Bijol,Slovenia,Defender,right,190.0,IT1,Udinese Calcio,15000000.0,4,0,0,0,2173,25
Giovanni Di Lorenzo,Italy,Defender,right,183.0,IT1,SSC Napoli,15000000.0,6,0,2,8,4171,31
Victor Lindelöf,Sweden,Defender,right,187.0,GB1,Manchester United,15000000.0,3,0,1,1,1960,30
Victor Kristiansen,Denmark,Defender,left,181.0,IT1,Bologna FC 1909,15000000.0,4,0,0,4,2522,22
Conor Bradley,Northern Ireland,Defender,right,181.0,GB1,Liverpool FC,15000000.0,4,0,1,6,1505,21
Jan-Niklas Beste,Germany,Defender,left,175.0,L1,1.FC Heidenheim 1846,15000000.0,4,0,8,14,2693,26
Nikola Milenkovic,Serbia,Defender,right,195.0,IT1,ACF Fiorentina,15000000.0,4,1,0,0,3158,27
Amir Rrahmani,Kosovo,Defender,right,192.0,IT1,SSC Napoli,15000000.0,7,0,4,0,3335,30
Kiliann Sildillia,France,Defender,right,186.0,L1,SC Freiburg,15000000.0,3,1,1,1,2583,22
Mathías Olivera,Uruguay,Defender,left,185.0,IT1,SSC Napoli,15000000.0,5,0,1,1,1898,27
Philipp Lienhart,Austria,Defender,right,189.0,L1,SC Freiburg,15000000.0,5,0,1,1,1815,28
Lucas Martínez Quarta,Argentina,Defender,right,183.0,IT1,ACF Fiorentina,15000000.0,9,0,6,1,2534,28
Yarek Gasiorowski,Spain,Defender,left,192.0,ES1,Valencia CF,15000000.0,2,0,0,0,913,20
Fran García,Spain,Defender,left,169.0,ES1,Real Madrid,15000000.0,2,0,1,6,1688,25
Morato,Brazil,Defender,left,192.0,PO1,SL Benfica,15000000.0,5,0,0,1,2262,23
Mika Mármol,Spain,Defender,left,181.0,ES1,UD Las Palmas,15000000.0,6,0,0,1,3181,23
Niklas Süle,Germany,Defender,right,195.0,L1,Borussia Dortmund,15000000.0,1,0,1,0,2022,29
Raoul Bellanova,Italy,Defender,right,188.0,IT1,Torino FC,15000000.0,5,0,1,7,3210,24
Chadi Riad,Morocco,Defender,left,187.0,ES1,Real Betis Balompié,15000000.0,1,0,0,0,2314,21
Alessio Romagnoli,Italy,Defender,left,185.0,IT1,SS Lazio,15000000.0,12,0,0,1,3309,30
Jon Pacheco,Spain,Defender,left,184.0,ES1,Real Sociedad,15000000.0,10,0,1,1,1833,24
Juanlu Sánchez,Spain,Defender,right,186.0,ES1,Sevilla FC,15000000.0,4,0,1,3,1744,21
Gastón Álvarez,Uruguay,Defender,left,184.0,ES1,Getafe CF,15000000.0,8,0,2,0,2693,24
Kristoffer Ajer,Norway,Defender,right,198.0,GB1,Brentford FC,15000000.0,5,0,2,1,1993,26
Juan Foyth,Argentina,Defender,right,187.0,ES1,Villarreal CF,15000000.0,2,0,1,1,1319,27
Tiago Santos,Portugal,Defender,right,175.0,FR1,LOSC Lille,15000000.0,6,0,1,2,2549,22
Chancel Mbemba,DR Congo,Defender,right,182.0,FR1,Olympique Marseille,15000000.0,3,0,6,2,3405,30
Diogo Leite,Portugal,Defender,left,190.0,L1,1.FC Union Berlin,15000000.0,7,0,1,0,3427,26
Joakim Maehle,Denmark,Defender,right,185.0,L1,VfL Wolfsburg,14000000.0,6,0,2,4,2681,27
Nicolò Casale,Italy,Defender,right,191.0,IT1,SS Lazio,14000000.0,6,0,0,0,1872,26
Cameron Carter-Vickers,United States,Defender,right,183.0,SC1,Celtic FC,14000000.0,1,0,1,1,2123,27
Loïc Badé,France,Defender,right,191.0,ES1,Sevilla FC,14000000.0,8,1,0,1,2620,24
Stefan Posch,Austria,Defender,right,190.0,IT1,Bologna FC 1909,14000000.0,7,0,1,2,2702,27
Álex Moreno,Spain,Defender,left,179.0,GB1,Aston Villa,13000000.0,2,0,2,0,1300,31
Jordan Beyer,Germany,Defender,right,187.0,GB1,Burnley FC,13000000.0,6,0,0,1,1238,24
Otávio,Brazil,Defender,left,188.0,PO1,FC Porto,13000000.0,8,0,2,2,2861,22
Tyrone Mings,England,Defender,left,196.0,GB1,Aston Villa,13000000.0,0,0,0,0,31,31
Jayden Oosterwolde,Netherlands,Defender,left,189.0,TR1,Fenerbahce,13000000.0,9,0,1,0,2206,23
Nehuén Pérez,Argentina,Defender,right,186.0,IT1,Udinese Calcio,13000000.0,9,0,0,1,3240,24
Mario Gila,Spain,Defender,right,185.0,IT1,SS Lazio,13000000.0,4,0,0,0,2469,24
Davide Calabria,Italy,Defender,right,176.0,IT1,AC Milan,13000000.0,8,1,1,4,2970,28
Kyle Walker,England,Defender,right,178.0,GB1,Manchester City,13000000.0,2,0,0,5,4083,34
Alexander Bah,Denmark,Defender,right,183.0,PO1,SL Benfica,13000000.0,6,0,2,3,2309,27
Luiz Felipe,Italy,Defender,right,187.0,ES1,Real Betis Balompié,13000000.0,2,0,0,0,450,27
James Tarkowski,England,Defender,right,185.0,GB1,Everton FC,13000000.0,12,0,2,1,3975,32
Trevoh Chalobah,England,Defender,right,192.0,GB1,Chelsea FC,13000000.0,2,0,1,0,1227,25
Valentín Barco,Argentina,Defender,left,170.0,GB1,Brighton & Hove Albion,13000000.0,1,0,0,0,318,20
Ola Aina,Nigeria,Defender,right,184.0,GB1,Nottingham Forest,12000000.0,3,0,1,1,1701,28
Lucas Digne,France,Defender,left,178.0,GB1,Aston Villa,12000000.0,9,0,1,6,2548,31
Jake O'Brien,Ireland,Defender,right,197.0,FR1,Olympique Lyon,12000000.0,4,1,4,2,2370,23
Thomas Beelen,Netherlands,Defender,right,190.0,NL1,Feyenoord Rotterdam,12000000.0,2,0,0,0,1822,23
Nélson Semedo,Portugal,Defender,right,177.0,GB1,Wolverhampton Wanderers,12000000.0,12,1,1,1,3484,31
Kieran Tierney,Scotland,Defender,left,180.0,GB1,Arsenal FC,12000000.0,1,0,0,2,1496,27
Douglas Santos,Brazil,Defender,left,176.0,RU1,Zenit St. Petersburg,12000000.0,6,0,3,3,2862,30
Armel Bella-Kotchap,Germany,Defender,right,190.0,NL1,PSV Eindhoven,12000000.0,0,0,0,0,247,23
Raphaël Guerreiro,Portugal,Defender,left,170.0,L1,Bayern Munich,12000000.0,1,0,3,2,1617,31
Emerson,Italy,Defender,left,176.0,GB1,West Ham United,12000000.0,13,0,1,2,3916,30
Melvin Bard,France,Defender,left,173.0,FR1,OGC Nice,12000000.0,7,1,1,2,2661,24
Eric Dier,England,Defender,right,191.0,L1,Bayern Munich,12000000.0,1,0,0,0,1808,31
Jonathan Clauss,France,Defender,right,178.0,FR1,Olympique Marseille,12000000.0,4,1,5,11,3286,32
Patrick Dorgu,Denmark,Defender,left,185.0,IT1,US Lecce,12000000.0,7,0,2,1,1639,20
Sepp van den Berg,Netherlands,Defender,right,192.0,L1,1.FSV Mainz 05,12000000.0,10,0,3,0,2880,23
