name,country_of_citizenship,position,foot,height_in_cm,current_club_domestic_competition_id,current_club_name,market_value_in_eur,yellow_cards,red_cards,goals,assists,minutes_played,age
Pedro Gonçalves,Portugal,Midfield,right,173.0,PO1,Sporting CP,32000000.0,5,0,14,16,3238,26
Mats Wieffer,Netherlands,Midfield,right,188.0,NL1,Feyenoord Rotterdam,30000000.0,6,0,6,4,3720,25
James Ward-Prowse,England,Midfield,right,177.0,GB1,West Ham United,30000000.0,5,0,7,11,4022,30
Joe Willock,England,Midfield,right,186.0,GB1,Newcastle United,30000000.0,1,0,2,0,707,25
Aleksandr Golovin,Russia,Midfield,right,178.0,FR1,AS Monaco,30000000.0,9,1,6,6,2156,28
Mateo Kovacic,Croatia,Midfield,right,177.0,GB1,Manchester City,30000000.0,5,0,3,1,2713,30
Tomas Soucek,Czech Republic,Midfield,right,192.0,GB1,West Ham United,30000000.0,9,0,10,3,3996,29
Konrad Laimer,Austria,Midfield,right,180.0,L1,Bayern Munich,30000000.0,5,0,1,4,2713,27
Ibrahim Sangaré,Cote d'Ivoire,Midfield,right,191.0,NL1,PSV Eindhoven,30000000.0,6,0,2,1,1668,27
Tijjani Reijnders,Netherlands,Midfield,right,185.0,IT1,AC Milan,30000000.0,9,0,4,4,3871,26
Ismaël Bennacer,Algeria,Midfield,left,175.0,IT1,AC Milan,30000000.0,2,0,2,2,1335,27
Rodrigo de Paul,Argentina,Midfield,right,180.0,ES1,Atlético de Madrid,30000000.0,11,0,4,6,3211,30
John McGinn,Scotland,Midfield,left,178.0,GB1,Aston Villa,30000000.0,9,1,6,4,3422,30
Marcos Llorente,Spain,Midfield,right,184.0,ES1,Atlético de Madrid,30000000.0,6,0,6,6,3602,30
Adam Wharton,England,Midfield,left,182.0,GB1,Crystal Palace,30000000.0,2,0,0,3,1560,20
Fermín López,Spain,Midfield,right,174.0,ES1,FC Barcelona,30000000.0,4,0,11,1,1901,21
Bilal El Khannouss,Morocco,Midfield,right,180.0,BE1,KRC Genk,30000000.0,4,0,3,6,2685,20
Youssouf Fofana,France,Midfield,right,185.0,FR1,AS Monaco,30000000.0,3,0,4,4,2703,26
Aleksandar Pavlovic,Germany,Midfield,both,188.0,L1,Bayern Munich,30000000.0,6,0,2,2,1435,20
Enzo Millot,France,Midfield,left,174.0,L1,VfB Stuttgart,30000000.0,5,0,6,11,2492,22
Leon Goretzka,Germany,Midfield,right,189.0,L1,Bayern Munich,30000000.0,5,0,6,11,3106,29
Xaver Schlager,Austria,Midfield,left,174.0,L1,RB Leipzig,28000000.0,10,0,1,7,3299,27
Danilo,Brazil,Midfield,left,177.0,GB1,Nottingham Forest,28000000.0,12,0,9,8,6093,23
Manuel Locatelli,Italy,Midfield,right,185.0,IT1,Juventus FC,28000000.0,8,0,1,6,3343,27
Weston McKennie,United States,Midfield,right,185.0,IT1,Juventus FC,28000000.0,6,0,0,10,2952,26
Mathias Jensen,Denmark,Midfield,right,180.0,GB1,Brentford FC,28000000.0,5,0,4,3,2439,29
Stanislav Lobotka,Slovakia,Midfield,right,168.0,IT1,SSC Napoli,28000000.0,4,0,0,1,4191,30
Quinten Timber,Netherlands,Midfield,right,179.0,NL1,Feyenoord Rotterdam,28000000.0,8,0,8,10,3730,23
Jerdy Schouten,Netherlands,Midfield,right,185.0,NL1,PSV Eindhoven,28000000.0,5,0,4,0,3296,28
Hugo Larsson,Sweden,Midfield,right,187.0,L1,Eintracht Frankfurt,28000000.0,1,0,2,2,2063,20
Frank Anguissa,Cameroon,Midfield,right,184.0,IT1,SSC Napoli,27000000.0,3,0,1,3,3421,29
Orkun Kökçü,Türkiye,Midfield,both,175.0,PO1,SL Benfica,27000000.0,11,0,7,10,2446,24
Johnny Cardoso,United States,Midfield,right,186.0,ES1,Real Betis Balompié,25000000.0,3,0,1,2,1332,23
Sean Longstaff,England,Midfield,right,187.0,GB1,Newcastle United,25000000.0,8,0,8,2,3643,27
Lorenzo Pellegrini,Italy,Midfield,right,186.0,IT1,AS Roma,25000000.0,10,0,10,5,2731,28
Ruben Loftus-Cheek,England,Midfield,right,191.0,IT1,AC Milan,25000000.0,6,0,10,2,2860,29
Maghnes Akliouche,France,Midfield,left,183.0,FR1,AS Monaco,25000000.0,5,0,7,4,1619,22
Pablo Barrios,Spain,Midfield,right,181.0,ES1,Atlético de Madrid,25000000.0,5,0,1,2,1978,21
Angel Gomes,England,Midfield,right,168.0,FR1,LOSC Lille,25000000.0,5,0,0,8,2795,24
Rayan Cherki,France,Midfield,both,177.0,FR1,Olympique Lyon,25000000.0,0,0,1,6,1718,21
Lesley Ugochukwu,France,Midfield,right,190.0,GB1,Chelsea FC,25000000.0,3,0,0,0,567,20
Aleix García,Spain,Midfield,right,173.0,ES1,Girona FC,25000000.0,4,1,3,6,3326,27
Mattéo Guendouzi,France,Midfield,right,185.0,FR1,Olympique Marseille,25000000.0,6,1,3,4,3342,25
Yangel Herrera,Venezuela,Midfield,right,184.0,ES1,Girona FC,25000000.0,9,0,5,0,2228,27
Otávio,Portugal,Midfield,right,172.0,PO1,FC Porto,25000000.0,8,0,2,2,2861,29
Kang-in Lee,"Korea, South",Midfield,left,173.0,FR1,Paris Saint-Germain,25000000.0,3,0,5,5,1904,23
Gabri Veiga,Spain,Midfield,right,185.0,ES1,Celta de Vigo,25000000.0,0,0,0,0,17,22
Denis Zakaria,Switzerland,Midfield,right,190.0,FR1,AS Monaco,25000000.0,13,0,4,0,2142,28
Youri Tielemans,Belgium,Midfield,right,177.0,GB1,Aston Villa,25000000.0,4,0,2,6,1965,27
Arthur Vermeeren,Belgium,Midfield,right,180.0,BE1,Royal Antwerp FC,25000000.0,5,0,2,6,2843,19
Kalvin Phillips,England,Midfield,right,179.0,GB1,West Ham United,25000000.0,5,0,1,0,639,29
Denzel Dumfries,Netherlands,Midfield,right,188.0,IT1,Inter Milan,24000000.0,3,1,4,6,1965,28
Lewis Ferguson,Scotland,Midfield,right,181.0,IT1,Bologna FC 1909,24000000.0,9,0,6,5,2928,25
Emile Smith Rowe,England,Midfield,right,182.0,GB1,Arsenal FC,22000000.0,0,0,0,2,475,24
Lewis Miley,England,Midfield,right,189.0,GB1,Newcastle United,22000000.0,1,0,1,4,1729,18
Philip Billing,Denmark,Midfield,left,193.0,GB1,AFC Bournemouth,22000000.0,4,1,2,4,1753,28
Vitaly Janelt,Germany,Midfield,left,184.0,GB1,Brentford FC,22000000.0,8,0,1,3,3452,26
Piotr Zieliński,Poland,Midfield,both,180.0,IT1,SSC Napoli,22000000.0,2,0,4,3,2427,30
Samuele Ricci,Italy,Midfield,right,181.0,IT1,Torino FC,22000000.0,8,0,1,4,2479,23
Fábio Vieira,Portugal,Midfield,left,170.0,GB1,Arsenal FC,22000000.0,0,1,1,3,471,24
Julio Enciso,Paraguay,Midfield,right,173.0,GB1,Brighton & Hove Albion,22000000.0,2,0,0,2,590,21
Carlos Baleba,Cameroon,Midfield,left,179.0,FR1,LOSC Lille,22000000.0,8,0,0,0,1543,21
Sofyan Amrabat,Morocco,Midfield,right,185.0,IT1,ACF Fiorentina,22000000.0,9,0,0,0,1545,28
Carlos Augusto,Brazil,Midfield,left,184.0,IT1,Inter Milan,22000000.0,2,0,1,3,2326,26
Jesper Lindstrøm,Denmark,Midfield,right,182.0,IT1,SSC Napoli,22000000.0,2,0,0,1,759,24
Pepelu,Spain,Midfield,right,186.0,ES1,Valencia CF,22000000.0,5,0,8,1,3495,26
James Garner,England,Midfield,right,182.0,GB1,Everton FC,22000000.0,7,0,2,2,3635,23
Yunus Musah,United States,Midfield,right,178.0,IT1,AC Milan,22000000.0,9,0,0,2,2241,22
Javi Guerra,Spain,Midfield,right,187.0,ES1,Valencia CF,20000000.0,3,1,4,1,2735,21
Matt O'Riley,Denmark,Midfield,left,189.0,SC1,Celtic FC,20000000.0,4,0,14,16,3782,24
Eljif Elmas,North Macedonia,Midfield,right,184.0,IT1,SSC Napoli,20000000.0,2,0,2,0,752,25
Lazar Samardžić,Serbia,Midfield,left,184.0,IT1,Udinese Calcio,20000000.0,3,0,6,2,2382,22
Orel Mangala,Belgium,Midfield,right,178.0,FR1,Olympique Lyon,20000000.0,6,0,3,0,2177,26
Lovro Majer,Croatia,Midfield,left,178.0,FR1,Stade Rennais FC,20000000.0,5,0,5,5,2148,27
Sander Berge,Norway,Midfield,right,195.0,GB1,Burnley FC,20000000.0,11,0,2,2,3218,26
Marcel Sabitzer,Austria,Midfield,right,178.0,L1,Borussia Dortmund,20000000.0,5,1,6,9,3034,30
Malik Tillman,United States,Midfield,right,187.0,NL1,PSV Eindhoven,20000000.0,4,0,9,15,2232,22
Felix Nmecha,Germany,Midfield,right,190.0,L1,Borussia Dortmund,20000000.0,4,0,2,2,1385,24
Florentino,Portugal,Midfield,right,184.0,PO1,SL Benfica,20000000.0,10,0,0,0,2305,25
Amadou Haidara,Mali,Midfield,right,175.0,L1,RB Leipzig,20000000.0,5,0,2,2,1886,26
Fredrik Aursnes,Norway,Midfield,right,181.0,PO1,SL Benfica,20000000.0,3,0,2,9,4190,29
Eduard Spertsyan,Armenia,Midfield,right,178.0,RU1,FK Krasnodar,20000000.0,6,1,11,7,2724,24
Alex Scott,England,Midfield,right,178.0,GB1,AFC Bournemouth,20000000.0,6,0,2,4,1384,21
Manu Koné,France,Midfield,right,185.0,L1,Borussia Mönchengladbach,20000000.0,4,1,2,2,1717,23
Carlos Soler,Spain,Midfield,right,180.0,FR1,Paris Saint-Germain,20000000.0,1,0,2,2,1097,28
Jefferson Lerma,Colombia,Midfield,right,179.0,GB1,Crystal Palace,20000000.0,9,0,1,1,2649,30
Bryan Cristante,Italy,Midfield,right,186.0,IT1,AS Roma,20000000.0,13,0,4,5,4540,29
Nicolò Zaniolo,Italy,Midfield,left,190.0,TR1,Galatasaray,20000000.0,8,0,2,0,993,25
Angelo Stiller,Germany,Midfield,left,183.0,L1,TSG 1899 Hoffenheim,20000000.0,5,0,1,6,3141,23
Mohamed Camara,Mali,Midfield,right,173.0,FR1,AS Monaco,20000000.0,4,0,1,2,1041,25
Guido Rodríguez,Argentina,Midfield,right,185.0,ES1,Real Betis Balompié,20000000.0,9,0,2,1,2241,30
Wendel,Brazil,Midfield,right,180.0,RU1,Zenit St. Petersburg,20000000.0,6,0,4,10,2894,27
Casemiro,Brazil,Midfield,right,185.0,GB1,Manchester United,20000000.0,11,0,5,3,2578,32
Beñat Turrientes,Spain,Midfield,right,181.0,ES1,Real Sociedad,20000000.0,4,0,0,1,2174,22
Matteo Ruggeri,Italy,Midfield,left,187.0,IT1,Atalanta BC,20000000.0,4,0,2,6,3658,22
Marcus Tavernier,England,Midfield,left,178.0,GB1,AFC Bournemouth,20000000.0,3,0,4,4,2346,25
Granit Xhaka,Switzerland,Midfield,left,186.0,L1,Bayer 04 Leverkusen,20000000.0,7,0,4,2,4156,32
Andreas Pereira,Brazil,Midfield,right,178.0,GB1,Fulham FC,20000000.0,7,0,3,9,3035,29
Maxence Caqueret,France,Midfield,right,174.0,FR1,Olympique Lyon,20000000.0,1,0,1,3,3026,24
Nicolò Fagioli,Italy,Midfield,right,178.0,IT1,Juventus FC,20000000.0,1,0,0,2,439,23
Sebastian Szymanski,Poland,Midfield,left,174.0,TR1,Fenerbahce,19000000.0,4,0,13,15,3260,25
Billy Gilmour,Scotland,Midfield,right,170.0,GB1,Brighton & Hove Albion,18000000.0,8,1,0,2,2926,23
Andrea Colpani,Italy,Midfield,left,184.0,IT1,AC Monza,18000000.0,1,0,8,4,2751,25
Christian Nørgaard,Denmark,Midfield,right,187.0,GB1,Brentford FC,18000000.0,8,0,2,1,2588,30
Enzo Le Fée,France,Midfield,right,173.0,FR1,Stade Rennais FC,18000000.0,3,0,0,4,1855,24
Thomas Partey,Ghana,Midfield,right,185.0,GB1,Arsenal FC,18000000.0,5,0,0,0,883,31
Benjamin Bourigeaud,France,Midfield,right,178.0,FR1,Stade Rennais FC,18000000.0,4,0,12,7,2911,31
Claudinho,Brazil,Midfield,right,170.0,RU1,Zenit St. Petersburg,18000000.0,7,0,5,9,2964,28
Farès Chaïbi,Algeria,Midfield,right,183.0,FR1,FC Toulouse,18000000.0,3,0,2,7,2151,22
Habib Diarra,Senegal,Midfield,right,178.0,FR1,RC Strasbourg Alsace,18000000.0,3,0,3,1,2313,21
Edoardo Bove,Italy,Midfield,right,181.0,IT1,AS Roma,18000000.0,5,0,1,2,2627,22
Pierre-Emile Højbjerg,Denmark,Midfield,right,185.0,GB1,Tottenham Hotspur,18000000.0,4,0,0,0,1486,29
Daichi Kamada,Japan,Midfield,right,184.0,IT1,SS Lazio,18000000.0,3,0,2,2,1897,28
Nicolò Rovella,Italy,Midfield,right,179.0,IT1,SS Lazio,18000000.0,9,0,0,2,1621,23
Giovanni Reyna,United States,Midfield,right,185.0,L1,Borussia Dortmund,18000000.0,1,0,0,2,592,22
Facundo Buonanotte,Argentina,Midfield,left,174.0,GB1,Brighton & Hove Albion,18000000.0,8,0,4,1,1862,20
Arsen Zakharyan,Russia,Midfield,right,183.0,RU1,Dynamo Moscow,18000000.0,2,0,3,3,2116,21
Kristjan Asllani,Albania,Midfield,right,175.0,IT1,Inter Milan,18000000.0,3,0,1,2,1066,22
Christoph Baumgartner,Austria,Midfield,right,180.0,L1,RB Leipzig,18000000.0,3,0,5,3,1287,25
Ivan Ilić,Serbia,Midfield,left,186.0,IT1,Torino FC,18000000.0,3,0,4,2,2244,23
Nicolás Domínguez,Argentina,Midfield,right,179.0,IT1,Bologna FC 1909,17000000.0,6,0,3,2,1950,26
Hamed Junior Traorè,Cote d'Ivoire,Midfield,right,177.0,IT1,SSC Napoli,17000000.0,2,0,1,0,664,24
Leandro Barreiro,Luxembourg,Midfield,right,174.0,L1,1.FSV Mainz 05,17000000.0,8,0,4,1,2767,25
Fred,Brazil,Midfield,both,169.0,TR1,Fenerbahce,17000000.0,5,1,3,4,2232,31
Robert Andrich,Germany,Midfield,right,187.0,L1,Bayer 04 Leverkusen,17000000.0,8,0,6,5,2917,30
Nicolas Seiwald,Austria,Midfield,right,179.0,L1,RB Leipzig,16000000.0,1,0,0,2,1134,23
Jack Hinshelwood,England,Midfield,right,182.0,GB1,Brighton & Hove Albion,16000000.0,1,0,3,0,1217,19
Giovani Lo Celso,Argentina,Midfield,left,177.0,GB1,Tottenham Hotspur,16000000.0,2,0,2,2,597,28
Ismael Saibari,Morocco,Midfield,right,185.0,NL1,PSV Eindhoven,16000000.0,1,0,8,5,1622,24
Beñat Prados,Spain,Midfield,right,180.0,ES1,Athletic Bilbao,15000000.0,3,0,0,0,2004,23
Paul Pogba,France,Midfield,both,191.0,IT1,Juventus FC,15000000.0,0,0,0,0,52,31
Oliver Skipp,England,Midfield,right,175.0,GB1,Tottenham Hotspur,15000000.0,4,0,0,0,861,24
Harrison Reed,England,Midfield,right,181.0,GB1,Fulham FC,15000000.0,7,0,0,2,1737,30
Calvin Stengs,Netherlands,Midfield,left,187.0,NL1,Feyenoord Rotterdam,15000000.0,5,0,8,18,3223,26
Albert Sambi Lokonga,Belgium,Midfield,right,183.0,GB1,Luton Town,15000000.0,4,0,1,3,1443,25
Gedson Fernandes,Portugal,Midfield,right,183.0,TR1,Besiktas JK,15000000.0,8,0,3,5,3000,26
Elliot Anderson,Scotland,Midfield,right,179.0,GB1,Newcastle United,15000000.0,3,0,0,2,1100,22
Hidemasa Morita,Japan,Midfield,right,177.0,PO1,Sporting CP,15000000.0,4,0,2,4,2587,29
Carney Chukwuemeka,England,Midfield,right,187.0,GB1,Chelsea FC,15000000.0,2,0,2,1,254,21
Aimar Oroz,Spain,Midfield,right,177.0,ES1,CA Osasuna,15000000.0,3,0,2,1,2656,23
Aaron Ramsey,England,Midfield,right,181.0,GB1,Burnley FC,15000000.0,1,0,0,0,651,22
Anton Stach,Germany,Midfield,both,194.0,L1,TSG 1899 Hoffenheim,15000000.0,4,0,2,4,2677,26
Nico González,Spain,Midfield,right,188.0,PO1,FC Porto,15000000.0,8,0,2,1,1958,23
Romain Faivre,France,Midfield,left,180.0,FR1,FC Lorient,15000000.0,2,0,5,1,1505,26
Tommaso Baldanzi,Italy,Midfield,left,170.0,IT1,FC Empoli,15000000.0,3,0,2,0,1374,21
Amine Harit,Morocco,Midfield,right,180.0,FR1,Olympique Marseille,15000000.0,6,0,2,8,3075,27
Kenneth Taylor,Netherlands,Midfield,both,182.0,NL1,Ajax Amsterdam,15000000.0,5,0,7,6,3499,22
Josh Brownhill,England,Midfield,right,179.0,GB1,Burnley FC,15000000.0,5,1,4,3,2374,29
Giannis Konstantelias,Greece,Midfield,both,178.0,GR1,PAOK Thessaloniki,15000000.0,3,0,11,5,2276,21
Iván Martín,Spain,Midfield,left,178.0,ES1,Girona FC,15000000.0,5,0,5,4,2931,25
André Almeida,Portugal,Midfield,right,176.0,ES1,Valencia CF,15000000.0,0,0,2,1,968,24
Lucas Torreira,Uruguay,Midfield,right,166.0,TR1,Galatasaray,15000000.0,8,1,1,3,3820,28
Jean-Ricner Bellegarde,France,Midfield,right,172.0,FR1,RC Strasbourg Alsace,15000000.0,2,1,4,3,1533,26
Carlos Alcaraz,Argentina,Midfield,right,183.0,IT1,Juventus FC,15000000.0,1,0,1,3,590,22
Youssouf Ndayishimiye,Burundi,Midfield,right,183.0,FR1,OGC Nice,15000000.0,6,1,0,0,1713,26
Morten Frendrup,Denmark,Midfield,right,178.0,IT1,Genoa CFC,15000000.0,8,0,2,6,3311,23
Arthur Melo,Brazil,Midfield,right,172.0,IT1,ACF Fiorentina,15000000.0,3,0,2,4,2365,28
Yacine Adli,France,Midfield,right,186.0,IT1,AC Milan,15000000.0,4,0,1,2,1860,24
Matheus França,Brazil,Midfield,right,184.0,GB1,Crystal Palace,15000000.0,1,0,0,1,322,20
Andrey Santos,Brazil,Midfield,right,180.0,FR1,RC Strasbourg Alsace,15000000.0,3,0,1,0,928,20
Jordan Veretout,France,Midfield,right,177.0,FR1,Olympique Marseille,15000000.0,5,0,4,4,3388,31
Gustavo Hamer,Netherlands,Midfield,right,169.0,GB1,Sheffield United,15000000.0,10,0,5,7,3147,27
Cameron Puertas,Spain,Midfield,right,178.0,BE1,Union Saint-Gilloise,15000000.0,4,0,7,19,3099,26
Eliesse Ben Seghir,Morocco,Midfield,right,178.0,FR1,AS Monaco,15000000.0,0,1,2,2,424,19
Matteo Pessina,Italy,Midfield,left,187.0,IT1,AC Monza,15000000.0,5,0,6,3,3319,27
Tyler Adams,United States,Midfield,right,175.0,GB1,AFC Bournemouth,15000000.0,0,0,0,0,138,25
Alberto Moleiro,Spain,Midfield,right,171.0,ES1,UD Las Palmas,15000000.0,2,0,4,4,1908,21
İlkay Gündoğan,Germany,Midfield,right,180.0,ES1,FC Barcelona,15000000.0,6,0,5,14,4180,34
Fabio Miretti,Italy,Midfield,right,180.0,IT1,Juventus FC,15000000.0,3,0,2,2,1271,21
Valentín Carboni,Argentina,Midfield,left,185.0,IT1,AC Monza,15000000.0,2,0,2,4,1178,19
